"result_id","cdm_name","group_name","group_level","strata_name","strata_level","variable_name","variable_level","estimate_name","estimate_type","estimate_value","additional_name","additional_level"
1,"CPRD_GOLD","denominator_cohort_name","denominator_cohort_1","overall","overall","outcome_cohort_name","cohort_1","denominator_count","integer","3529","incidence_start_date &&& incidence_end_date","2008-01-01 &&& 2008-12-31"
1,"CPRD_GOLD","denominator_cohort_name","denominator_cohort_1","overall","overall","outcome_cohort_name","cohort_1","outcome_count","integer","17","incidence_start_date &&& incidence_end_date","2008-01-01 &&& 2008-12-31"
1,"CPRD_GOLD","denominator_cohort_name","denominator_cohort_1","overall","overall","outcome_cohort_name","cohort_1","person_days","numeric","1262578","incidence_start_date &&& incidence_end_date","2008-01-01 &&& 2008-12-31"
1,"CPRD_GOLD","denominator_cohort_name","denominator_cohort_1","overall","overall","outcome_cohort_name","cohort_1","person_years","numeric","3456.75017111567","incidence_start_date &&& incidence_end_date","2008-01-01 &&& 2008-12-31"
1,"CPRD_GOLD","denominator_cohort_name","denominator_cohort_1","overall","overall","outcome_cohort_name","cohort_1","incidence_100000_pys","numeric","491.791398234406","incidence_start_date &&& incidence_end_date","2008-01-01 &&& 2008-12-31"
1,"CPRD_GOLD","denominator_cohort_name","denominator_cohort_1","overall","overall","outcome_cohort_name","cohort_1","incidence_100000_pys_95CI_lower","numeric","286.486612551784","incidence_start_date &&& incidence_end_date","2008-01-01 &&& 2008-12-31"
1,"CPRD_GOLD","denominator_cohort_name","denominator_cohort_1","overall","overall","outcome_cohort_name","cohort_1","incidence_100000_pys_95CI_upper","numeric","787.405669155481","incidence_start_date &&& incidence_end_date","2008-01-01 &&& 2008-12-31"
1,"CPRD_GOLD","denominator_cohort_name","denominator_cohort_1","overall","overall","outcome_cohort_name","cohort_1","denominator_count","integer","3406","incidence_start_date &&& incidence_end_date","2009-01-01 &&& 2009-12-31"
1,"CPRD_GOLD","denominator_cohort_name","denominator_cohort_1","overall","overall","outcome_cohort_name","cohort_1","outcome_count","integer","20","incidence_start_date &&& incidence_end_date","2009-01-01 &&& 2009-12-31"
1,"CPRD_GOLD","denominator_cohort_name","denominator_cohort_1","overall","overall","outcome_cohort_name","cohort_1","person_days","numeric","1217109","incidence_start_date &&& incidence_end_date","2009-01-01 &&& 2009-12-31"
1,"CPRD_GOLD","denominator_cohort_name","denominator_cohort_1","overall","overall","outcome_cohort_name","cohort_1","person_years","numeric","3332.26283367556","incidence_start_date &&& incidence_end_date","2009-01-01 &&& 2009-12-31"
